title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries,platform,is_original
Ariel,movie,"['Comedy', 'Crime', 'Romance']",1988,tt0094675,7.4,9169.0,,netflix,N
Shadows in Paradise,movie,"['Comedy', 'Drama', 'Music']",1986,tt0092149,7.4,7994.0,,netflix,N
Forrest Gump,movie,"['Drama', 'Romance']",1994,tt0109830,8.8,2377322.0,,netflix,N
American Beauty,movie,['Drama'],1999,tt0169547,8.3,1248325.0,,netflix,N
The Fifth Element,movie,"['Action', 'Adventure', 'Sci-Fi']",1997,tt0119116,7.6,526971.0,,netflix,N
Jarhead,movie,"['Biography', 'Drama', 'War']",2005,tt0418763,7.0,215561.0,,netflix,N
Unforgiven,movie,"['Drama', 'Western']",1992,tt0105695,8.2,454213.0,,netflix,N
Eternal Sunshine of the Spotless Mind,movie,"['Drama', 'Romance', 'Sci-Fi']",2004,tt0338013,8.3,1135766.0,,netflix,N
Amores Perros,movie,"['Drama', 'Thriller']",2000,tt0245712,8.0,267686.0,,netflix,N
A History of Violence,movie,"['Action', 'Crime', 'Drama']",2005,tt0399146,7.4,264330.0,,netflix,N
Talk to Her,movie,"['Drama', 'Mystery', 'Romance']",2002,tt0287467,7.9,119945.0,,netflix,N
8 Mile,movie,"['Drama', 'Music']",2002,tt0298203,7.2,338080.0,,netflix,N
Paradise Now,movie,"['Crime', 'Drama', 'Thriller']",2005,tt0445620,7.4,24512.0,,netflix,N
Million Dollar Baby,movie,"['Drama', 'Sport']",2004,tt0405159,8.1,746025.0,,netflix,N
Billy Elliot,movie,"['Drama', 'Music']",2000,tt0249462,7.7,147958.0,,netflix,N
American History X,movie,"['Crime', 'Drama']",1998,tt0120586,8.5,1230471.0,,netflix,N
Mars Attacks!,movie,"['Comedy', 'Sci-Fi']",1996,tt0116996,6.4,252117.0,,netflix,N
Before Sunrise,movie,"['Comedy', 'Drama', 'Romance']",1995,tt0112471,8.1,358800.0,,netflix,N
Memento,movie,"['Mystery', 'Thriller']",2000,tt0209144,8.4,1378030.0,,netflix,N
Hero,movie,"['Action', 'Adventure', 'Drama']",2002,tt0299977,7.9,190715.0,,netflix,N
Before Sunset,movie,"['Drama', 'Romance']",2004,tt0381681,8.1,301981.0,,netflix,N
Nausicaä of the Valley of the Wind,movie,"['Adventure', 'Animation', 'Sci-Fi']",1984,tt0087544,8.0,190622.0,,netflix,N
Open Water,movie,"['Adventure', 'Drama', 'Horror']",2003,tt0374102,5.8,57876.0,,netflix,N
Raiders of the Lost Ark,movie,"['Action', 'Adventure']",1981,tt0082971,8.4,1073648.0,,netflix,N
Indiana Jones and the Temple of Doom,movie,"['Action', 'Adventure']",1984,tt0087469,7.5,551914.0,,netflix,N
Dirty Dancing,movie,"['Drama', 'Music', 'Romance']",1987,tt0092890,7.1,269250.0,,netflix,N
Indiana Jones and the Last Crusade,movie,"['Action', 'Adventure']",1989,tt0097576,8.2,838193.0,,netflix,N
Beverly Hills Cop,movie,"['Action', 'Comedy', 'Crime']",1984,tt0086960,7.4,223994.0,,netflix,N
Beverly Hills Cop II,movie,"['Action', 'Comedy', 'Crime']",1987,tt0092644,6.6,143473.0,,netflix,N
