title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ariel,movie,"Comedy, Crime, Romance",1988,tt0094675,7.4,9169,
"Shadows in Paradise",movie,"Comedy, Drama, Music",1986,tt0092149,7.4,7994,
"Star Wars: Episode IV - A New Hope",movie,"Action, Adventure, Fantasy",1977,tt0076759,8.6,1507132,
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2377322,
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,526971,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,454213,
"2001: A Space Odyssey",movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,753120,
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,663881,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,147958,
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1230471,
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,490142,
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,252117,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1378030,
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,853779,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1073648,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,551914,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,838193,
Armageddon,movie,"Action, Adventure, Sci-Fi",1998,tt0120591,6.7,465844,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,106667,
"Open Hearts",movie,"Drama, Romance",2002,tt0315543,7.5,11285,
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,978159,
Predator,movie,"Action, Adventure, Horror",1987,tt0093773,7.8,476825,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,945682,
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,385907,
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,550940,
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2106224,
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1872106,
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2076396,
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,881755,
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,80861,
Akira,movie,"Animation, Drama, Fantasy",1988,tt0094625,8,215686,
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,510553,
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,3018606,
"Wilbur Wants to Kill Himself",movie,"Comedy, Drama, Romance",2002,tt0329767,6.8,8166,
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,426387,
"Breakfast at Tiffany's",movie,"Comedy, Drama, Romance",1961,tt0054698,7.5,198613,
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,597561,
K-PAX,movie,"Drama, Mystery, Sci-Fi",2001,tt0272152,7.4,197363,
"Predator 2",movie,"Action, Horror, Sci-Fi",1990,tt0100403,6.3,191365,
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,807355,
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,818215,
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,500335,
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,70384,
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,503006,
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,110161,
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,136411,
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2123197,
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1428216,
"Natural Born Killers",movie,"Crime, Romance",1994,tt0110632,7.2,260086,
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,439327,
"High Fidelity",movie,"Comedy, Drama, Music",2000,tt0146882,7.4,194984,
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,196049,
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,247751,
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,419446,
"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1645496,
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,3041709,
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1231822,
"Strange Days",movie,"Crime, Drama, Sci-Fi",1995,tt0114558,7.2,81375,
Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,630852,
"Terminator 3: Rise of the Machines",movie,"Action, Sci-Fi",2003,tt0181852,6.3,428235,
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,377373,
"Ocean's Eleven",movie,"Comedy, Crime, Music",1960,tt0054135,6.5,26228,
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,394878,
Catwoman,movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,129132,
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,503783,
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1118682,
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,352710,
Magnolia,movie,Drama,1999,tt0175880,8,337844,
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,399094,
Alien,movie,"Horror, Sci-Fi",1979,tt0078748,8.5,1015265,
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,499110,
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,339857,
"Alien vs. Predator",movie,"Action, Adventure, Horror",2004,tt0370263,5.7,223522,
"Garden State",movie,"Comedy, Drama, Romance",2004,tt0333766,7.4,226425,
"Basic Instinct",movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,231889,
"La Strada",movie,Drama,1954,tt0047528,8,68292,
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,275238,
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,275688,
8½,movie,Drama,1963,tt0056801,8,129216,
"Aliens vs. Predator: Requiem",movie,"Action, Horror, Sci-Fi",2007,tt0758730,4.6,140757,
"Romeo + Juliet",movie,"Drama, Romance",1996,tt0117509,6.7,252045,
"Bend It Like Beckham",movie,"Comedy, Drama, Romance",2002,tt0286499,6.7,119409,
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.5,234084,
"My Own Private Idaho",movie,Drama,1991,tt0102494,6.9,64478,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1136747,
