title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ariel,movie,"Comedy, Crime, Romance",1988,tt0094675,7.4,9169,
"Judgment Night",movie,"Action, Crime, Drama",1993,tt0107286,6.6,19925,
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2377322,
"Citizen Kane",movie,"Drama, Mystery",1941,tt0033467,8.3,480738,
"Dancer in the Dark",movie,"Crime, Drama, Musical",2000,tt0168629,7.9,120568,
"The Dark",movie,"Drama, Fantasy, Horror",2005,tt0411267,5.3,11681,
Metropolis,movie,"Drama, Sci-Fi",1927,tt0017136,8.3,194261,
"My Life Without Me",movie,"Drama, Romance",2003,tt0314412,7.4,26241,
"The Endless Summer",movie,"Documentary, Sport",1966,tt0060371,7.6,6566,
"Kill Bill: Vol. 1",movie,"Action, Crime, Thriller",2003,tt0266697,8.2,1250109,
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,215561,
"Walk on Water",movie,"Drama, Mystery, Thriller",2004,tt0352994,7.3,7141,
"Apocalypse Now",movie,"Drama, Mystery, War",1979,tt0078788,8.4,741728,
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1135766,
"Amores Perros",movie,"Drama, Thriller",2000,tt0245712,8,267686,
"A History of Violence",movie,"Action, Crime, Drama",2005,tt0399146,7.4,264330,
"2001: A Space Odyssey",movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,753120,
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,663881,
"Talk to Her",movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,119945,
"Paradise Now",movie,"Crime, Drama, Thriller",2005,tt0445620,7.4,24512,
"Million Dollar Baby",movie,"Drama, Sport",2004,tt0405159,8.1,746025,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,147958,
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,490142,
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,252117,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1378030,
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,853779,
Hero,movie,"Action, Adventure, Drama",2002,tt0299977,7.9,190715,
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,127402,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1073648,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,551914,
"Dirty Dancing",movie,"Drama, Music, Romance",1987,tt0092890,7.1,269250,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,838193,
"Beverly Hills Cop",movie,"Action, Comedy, Crime",1984,tt0086960,7.4,223994,
Armageddon,movie,"Action, Adventure, Sci-Fi",1998,tt0120591,6.7,465844,
"Beverly Hills Cop II",movie,"Action, Comedy, Crime",1987,tt0092644,6.6,143473,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1758322,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,106667,
"Lock, Stock and Two Smoking Barrels",movie,"Comedy, Crime",1998,tt0120735,8.1,634889,
"Léon: The Professional",movie,"Action, Crime, Drama",1994,tt0110413,8.5,1301928,
"Open Hearts",movie,"Drama, Romance",2002,tt0315543,7.5,11285,
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,978159,
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1376596,
Predator,movie,"Action, Adventure, Horror",1987,tt0093773,7.8,476825,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,945682,
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,115104,
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,82925,
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,113781,
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,964845,
"Italian for Beginners",movie,"Comedy, Drama, Romance",2000,tt0243862,7,14190,
"Spring, Summer, Fall, Winter... and Spring",movie,"Drama, Romance",2003,tt0374546,8,88937,
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,385907,
"The Big Lebowski",movie,"Comedy, Crime",1998,tt0118715,8.1,890099,
"Match Point",movie,"Drama, Romance, Thriller",2005,tt0416320,7.6,233670,
"The Untouchables",movie,"Crime, Drama, Thriller",1987,tt0094226,7.8,343228,
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,550940,
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2106224,
