title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2377322,
"American Beauty",movie,Drama,1999,tt0169547,8.3,1248325,
"Citizen Kane",movie,"Drama, Mystery",1941,tt0033467,8.3,480738,
Metropolis,movie,"Drama, Sci-Fi",1927,tt0017136,8.3,194261,
"Kill Bill: Vol. 1",movie,"Action, Crime, Thriller",2003,tt0266697,8.2,1250109,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,454213,
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1135766,
"Amores Perros",movie,"Drama, Thriller",2000,tt0245712,8,267686,
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,663881,
"Talk to Her",movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,119945,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,147958,
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,490142,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1378030,
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,127402,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1073648,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,551914,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,838193,
"Beverly Hills Cop",movie,"Action, Comedy, Crime",1984,tt0086960,7.4,223994,
"Beverly Hills Cop II",movie,"Action, Comedy, Crime",1987,tt0092644,6.6,143473,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1758322,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,106667,
"Léon: The Professional",movie,"Action, Crime, Drama",1994,tt0110413,8.5,1301928,
"Run Lola Run",movie,"Action, Crime, Thriller",1998,tt0130827,7.6,213346,
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1376596,
Predator,movie,"Action, Adventure, Horror",1987,tt0093773,7.8,476825,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,945682,
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,115104,
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,82925,
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,113781,
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,964845,
"Italian for Beginners",movie,"Comedy, Drama, Romance",2000,tt0243862,7,14190,
"The Big Lebowski",movie,"Comedy, Crime",1998,tt0118715,8.1,890099,
"The Untouchables",movie,"Crime, Drama, Thriller",1987,tt0094226,7.8,343228,
"O Brother, Where Art Thou?",movie,"Adventure, Comedy, Crime",2000,tt0190590,7.7,341283,
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,716145,
"Bad Education",movie,"Crime, Drama",2004,tt0275491,7.4,64898,
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,881755,
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,400853,
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,80861,
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,288024,
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,131420,
"48 Hrs.",movie,"Action, Comedy, Crime",1982,tt0083511,6.9,89690,
"Star Trek: The Motion Picture",movie,"Adventure, Mystery, Sci-Fi",1979,tt0079945,6.4,99605,
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,510553,
"Star Trek II: The Wrath of Khan",movie,"Action, Adventure, Sci-Fi",1982,tt0084726,7.7,132663,
"Star Trek III: The Search for Spock",movie,"Action, Adventure, Sci-Fi",1984,tt0088170,6.6,88515,
"Breakfast at Tiffany's",movie,"Comedy, Drama, Romance",1961,tt0054698,7.5,198613,
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,597561,
"Star Trek IV: The Voyage Home",movie,"Adventure, Comedy, Sci-Fi",1986,tt0092007,7.3,94102,
"Star Trek V: The Final Frontier",movie,"Action, Adventure, Fantasy",1989,tt0098382,5.5,66105,
"Star Trek VI: The Undiscovered Country",movie,"Action, Adventure, Sci-Fi",1991,tt0102975,7.2,83097,
"The Big Blue",movie,"Adventure, Drama, Sport",1988,tt0095250,7.5,56876,
"Blown Away",movie,"Action, Crime, Drama",1994,tt0109303,6.2,35321,
"Minority Report",movie,"Action, Crime, Mystery",2002,tt0181689,7.6,602226,
"Lucky Number Slevin",movie,"Crime, Drama, Thriller",2006,tt0425210,7.7,332625,
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,174809,
"Star Trek: Generations",movie,"Action, Adventure, Mystery",1994,tt0111280,6.6,89210,
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,818215,
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,500335,
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1128890,
"Star Trek: First Contact",movie,"Action, Adventure, Drama",1996,tt0117731,7.6,134996,
"Star Trek: Insurrection",movie,"Action, Adventure, Sci-Fi",1998,tt0120844,6.4,81340,
"Star Trek: Nemesis",movie,"Action, Adventure, Sci-Fi",2002,tt0253754,6.4,85952,
"Mean Streets",movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,124032,
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,70384,
"North by Northwest",movie,"Adventure, Drama, Mystery",1959,tt0053125,8.3,360195,
"Ali: Fear Eats the Soul",movie,"Drama, Romance",1974,tt0071141,8,25014,
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,503006,
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,110161,
"The Outsiders",movie,"Crime, Drama",1983,tt0086066,7,104211,
"The Cabinet of Dr. Caligari",movie,"Horror, Mystery, Thriller",1920,tt0010323,8,73447,
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2123197,
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1428216,
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,439327,
"High Fidelity",movie,"Comedy, Drama, Music",2000,tt0146882,7.4,194984,
"King Kong",movie,"Adventure, Horror",1933,tt0024216,7.9,93643,
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,196049,
"Pocketful of Miracles",movie,"Comedy, Drama",1961,tt0055312,7.1,8381,
"In China They Eat Dogs",movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23832,
